"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考"
"131083","131083700001","江東区","有明西学園","アリアケニシガクエン","","131083","","東京都江東区有明1-7-13","東京都","江東区","有明1丁目","7-13","","35.637038","139.784381","","","西玄関・東玄関","(03)3527-6401","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700002","江東区","有明スポーツセンター","アリアケスポーツセンター","","131083","","東京都江東区有明2-3-5","東京都","江東区","有明2丁目","3-5","","35.633206","139.783810","階数;階数","6;3","A棟6F;B棟3F","(03)3528-0191","","","","","1350063","6000020131083","","月火水木金土日","08:30:00","22:00:00","休館日等除く","","","","","","","",""
"131083","131083700003","江東区","有明小学校","アリアケショウガッコウ","","131083","","東京都江東区有明2-10-1","東京都","江東区","有明2丁目","10-1","","35.640466","139.795945","階数","1","１階正面玄関","(03)3527-5101","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700004","江東区","有明中学校","アリアケチュウガッコウ","","131083","","東京都江東区有明2-10-1","東京都","江東区","有明2丁目","10-1","","35.640432","139.795970","階数","1","１階玄関昇降口","(03)3527-8261","","","","","1350063","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700005","江東区","扇橋小学校","オウギバシショウガッコウ","","131083","","東京都江東区石島18-5","東京都","江東区","石島","18-5","","35.681289","139.811726","階数","1","1階正面玄関","(03)3647-0571","","","","","1350014","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700006","江東区","深川南部保健相談所","フカガワナンブホケンソウダンジョ","","131083","","東京都江東区枝川1-8-15-102","東京都","江東区","枝川1丁目","8-15-102","","35.657410","139.801936","階数","1","１階廊下階段付近","(03)5632-2291","","","","","1350051","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700007","江東区","枝川幼稚園","エダガワヨウチエン","","131083","","東京都江東区枝川3-4-1-101","東京都","江東区","枝川3丁目","4-1-101","","35.659457","139.808627","階数","1","1階職員室 テラス側","(03)3615-1333","","","","","1350051","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700008","江東区","枝川小学校","エダガワショウガッコウ","","131083","","東京都江東区枝川3-5-3","東京都","江東区","枝川3丁目","5-3","","35.659637","139.809200","階数","1","1階正面玄関","(03)3644-4941","","","","","1350051","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700009","江東区","枝川区民館","エダガワクミンカン","","131083","","東京都江東区枝川3-6-16","東京都","江東区","枝川3丁目","6-16","","35.658283","139.810623","階数","1","１Fホール","(03)3647-6852","","","","","1350051","6000020131083","","火水木金土日","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700010","江東区","深川スポーツセンター","フカガワスポーツセンター","","131083","","東京都江東区越中島1-2-18","東京都","江東区","越中島1丁目","2-18","","35.670460","139.791710","階数","1","１Fロビー;事務所","(03)3820-5881","","","","","1350044","6000020131083","","月火水木金土日","08:30:00","22:00:00","休館日等除く","","","","","","","",""
"131083","131083700011","江東区","越中島プール","エッチュウジマプール","","131083","","東京都江東区越中島1-3-23","東京都","江東区","越中島1丁目","3-23","","35.668757","139.789629","","","監視室","(03)5620-0045","","","","","1350044","6000020131083","","月火水木金土日","10:00:00","18:00:00","プール開設日（7月上旬から９月上旬）","","","","","","","",""
"131083","131083700012","江東区","越中島小学校","エッチュウジマショウガッコウ","","131083","","東京都江東区越中島3-6-38","東京都","江東区","越中島3丁目","6-38","","35.665863","139.796232","階数","1","1階中央玄関","(03)3643-9650","","","","","1350044","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700013","江東区","深川第三中学校","フカガワダイサンチュウガッコウ","","131083","","東京都江東区越中島3-7-1","東京都","江東区","越中島3丁目","7-1","","35.666455","139.795588","階数","1","1階正面玄関","(03)3641-5948","","","","","1350044","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700014","江東区","小松橋出張所","コマツバシシュッチョウジョ","","131083","","東京都江東区扇橋2-1-5","東京都","江東区","扇橋2丁目","1-5","","35.682687","139.814261","階数","1","１Fホール","(03)5606-5581","","","","","1350011","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700015","江東区","障害者福祉センター","ショウガイシャフクシセンター","","131083","","東京都江東区扇橋3-7-2","東京都","江東区","扇橋3丁目","7-2","","35.682729","139.820344","階数","1","１F受付","(03)3699-0316","","","","","1350011","6000020131083","","月火水木金土日","09:00:00","17:00:00","祝日年末年始第２・４日曜除く","","","","","","","",""
"131083","131083700016","江東区","つばめ幼稚園","ツバメヨウチエン","","131083","","東京都江東区扇橋3-20-13-101","東京都","江東区","扇橋3丁目","20-13-101","","35.684364","139.818924","階数","1","1階正面玄関","(03)3649-1841","","","","","1350011","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700017","江東区","男女共同参画推進センター","ダンジョキョウドウサンカクスイシンセンター","","131083","","東京都江東区扇橋3-22-2","東京都","江東区","扇橋3丁目","22-2","","35.684130","139.820160","階数","1","１Fホール","(03)5683-0341","","","","","1350011","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700018","江東区","第一大島小学校","ダイイチオオジマショウガッコウ","","131083","","東京都江東区大島2-41-4","東京都","江東区","大島2丁目","41-4","","35.689920","139.825602","階数","1","1階正面玄関","(03)3684-4312","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700019","江東区","城東保健相談所","ジョウトウホケンソウダンジョ","","131083","","東京都江東区大島3-1-3","東京都","江東区","大島3丁目","1-3","","35.689997","139.827632","階数","1","１階診察室入り口","(03)3637-6521","","","","","1360072","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700020","江東区","第二大島小学校","ダイニオオジマショウガッコウ","","131083","","東京都江東区大島3-16-2","東京都","江東区","大島3丁目","16-2","","35.690175","139.829854","階数","1","1階第一玄関","(03)3684-4315","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700021","江東区","第二大島中学校","ダイニオオジマチュウガッコウ","","131083","","東京都江東区大島3-27-18","東京都","江東区","大島3丁目","27-18","","35.691654","139.831116","階数","1","1階来賓職員玄関","(03)3685-1681","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700022","江東区","大島西中学校","オオジマニシチュウガッコウ","","131083","","東京都江東区大島4-1-23","東京都","江東区","大島4丁目","1-23","","35.686324","139.827748","階数","1","1階正面玄関","(03)3636-4591","","","","","1360072","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
