都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
131083,1,東京都,江東区,森下児童館,モリシタジドウカン,,1403a,江東区森下3-14-6,,35.686015,139.803001,(03)3635-1535,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り;スロープ有り;館内バリアフリー,https://www.city.koto.lg.jp/281050/kodomo/hokago/jidokan/8756.html,,135-0004 ,都営新宿線「森下駅」「菊川駅」より徒歩7分、都バス「高橋」「菊川一丁目」下車徒歩5分,0,,0,,,1,初回利用時に登録必要,0,一部プログラム開催時の託児あり,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15008.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,2,東京都,江東区,古石場児童館,フルイシバジドウカン,,1403a,江東区古石場1-11-11,,35.669308,139.794756,(03)3641-9532,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り;スロープ有り,https://www.city.koto.lg.jp/281051/kodomo/hokago/jidokan/27259.html,,135-0045 ,東京メトロ東西線・都営大江戸線「門前仲町駅」より徒歩6分、JR京葉線「越中島駅」より徒歩5分、都バス「不動尊前」下車徒歩6分,0,,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15010.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,3,東京都,江東区,塩浜児童館,シオハマジドウカン,,1403a,江東区塩浜2-5-20,塩浜福祉プラザ2階,35.66186,139.80543,(03)3647-3902,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り,https://www.city.koto.lg.jp/281052/kodomo/hokago/jidokan/8759.html,,135-0043 ,都バス「塩浜二丁目」下車徒歩1分,0,,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15011.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,4,東京都,江東区,豊洲児童館,トヨスジドウカン,,1403a,江東区豊洲4-10-4-111,,35.653568,139.802955,(03)3531-2079,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り,https://www.city.koto.lg.jp/281053/kodomo/hokago/jidokan/8760.html,,135-0061,東京メトロ有楽町線「豊洲駅」より徒歩10分、都バス「豊洲四丁目」下車徒歩8分,0,,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15012.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,5,東京都,江東区,辰巳児童館,タツミジドウカン,,1403a,江東区辰巳1-1-36,,35.647534,139.808988,(03)3521-3261,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り;スロープ有り,https://www.city.koto.lg.jp/281054/kodomo/hokago/jidokan/8762.html,,135-0053 ,東京メトロ有楽町線「辰巳駅」より徒歩2分、都バス「辰巳団地」下車徒歩5分,0,,0,,,1,初回利用時に登録必要,0,一部プログラム開催時の託児あり,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15014.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,6,東京都,江東区,東陽児童館,トウヨウジドウカン,,1403a,江東区東陽5-16-13,,35.671372,139.811804,(03)3647-8190,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り,https://www.city.koto.lg.jp/281055/2701120.html,,135-0016 ,東京メトロ東西線「木場駅」より徒歩8分、「東陽町駅」より徒歩10分、都バス「東陽三丁目」「東陽五丁目」下車徒歩3分,1,1台分,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15016.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,7,東京都,江東区,亀戸第三児童館,カメイドダイサンジドウカン,,1403a,江東区亀戸7-39-9,亀戸図書館3階,35.696971,139.839316,(03)3636-5341,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り,https://www.city.koto.lg.jp/281056/2701150.html,,136-0071 ,都バス「亀戸九丁目」下車徒歩1分,1,3台分(内1台は身体障害者車両用）,0,,,1,初回利用時に登録必要,0,一部プログラム開催時の託児あり,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15019.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,8,東京都,江東区,大島児童館,オオジマジドウカン,,1403a,江東区大島7-28-1-104,,35.693272,139.840249,(03)3682-9494,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り,https://www.city.koto.lg.jp/281057/kodomo/hokago/jidokan/8768.html,,136-0072 ,都営新宿線「東大島駅」より徒歩10分、都バス「大島七丁目」下車徒歩5分,0,,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15020.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,9,東京都,江東区,大島第二児童館,オオジマダイニジドウカン,,1403a,江東区大島4-5-1,総合区民センター5階,35.689094,139.826873,(03)3637-2591,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,多目的トイレ有り;スロープ有り,https://www.city.koto.lg.jp/281058/kodomo/hokago/jidokan/jidoukan2gatu.html,,136-0072 ,都営新宿線「西大島駅」より徒歩1分、都バス「西大島駅」下車徒歩1分,1,20台分（内1台は身体障害者車両用）、最初の30分無料、以後20分毎に100円（最大料金なし）,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15021.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
131083,10,東京都,江東区,東砂児童館,ヒガシスナジドウカン,,1403a,江東区東砂7-15-3,,35.674513,139.839723,(03)3646-0462,,,,火水木金土,9:00,18:00,こどもの日（9:00～18:00）は開館。第二・第四日曜日は開館（9:00～17:00、春夏冬休み中は18:00まで）。月曜日、第一・第三・第五日曜日、祝日（こどもの日を除く）、年末年始（12/29～1/3）は利用不可。,,なし,https://www.city.koto.lg.jp/281060/kodomo/hokago/jidokan/8771.html,,136-0074 ,都バス「旧葛西橋」下車徒歩3分,0,,0,,,1,初回利用時に登録必要,0,,https://www.city.koto.lg.jp/281012/shisetsuannai/kyoiku/jidokan/jidokan/15023.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2021/6/14
