都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
13108,1,東京都,江東区,森下保育園,モリシタホイクエン,,1402a,江東区森下 3-14-6,,35.686105,139.803169,(03)3635-1537,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,優先駐車場有り;多目的トイレ有り;スロープ有り;エレベーター有り;階段有り;手すり有り;点字ブロック有り,https://www.city.koto.lg.jp/280310/kodomo/hoiku/kuritsu/morishitahoiku.html,,135-0004,都営新宿線菊川駅徒歩７分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280310/kodomo/hoiku/kuritsu/morishitahoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,2,東京都,江東区,白河保育園,シラカワホイクエン,,1402a,江東区白河 1-7-1,,35.683197,139.799683,(03)3641-1198,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280311/kodomo/hoiku/kuritsu/shirakawahoiku.html,,135-0021,東京メトロ半蔵門線，都営大江戸線清澄白河駅徒歩３分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280311/kodomo/hoiku/kuritsu/shirakawahoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,3,東京都,江東区,深川一丁目保育園,フカガワイチョウメホイクエン,,1402a,江東区深川 1-6-15-101,,35.677395,139.796415,(03)3643-4845,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280312/kodomo/hoiku/kuritsu/fugagawaichihoiku.html,,135-0033,東京メトロ東西線門前仲町駅徒歩8分、半蔵門線清澄白河駅徒歩8分、深川二丁目バス停より徒歩1分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280312/kodomo/hoiku/kuritsu/fugagawaichihoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,4,東京都,江東区,古石場保育園,フルイシバホイクエン,,1402a,江東区古石場 2-14-1-102,,35.667139,139.799764,(03)3643-0593,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280313/kodomo/hoiku/kuritsu/furuishibahoiku.html,,135-0045,東京メトロ東西線木場駅より徒歩9分、門前仲町駅より徒歩１０分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280313/kodomo/hoiku/kuritsu/furuishibahoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,5,東京都,江東区,塩崎保育園,シオザキホイクエン,,1402a,江東区塩浜 2-6-3,,35.660983,139.808644,(03)3645-6014,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,多目的トイレ有り;エレベータ有り;スロープ有り,https://www.city.koto.lg.jp/280314/kodomo/hoiku/kuritsu/shiozakihoiku.html,,135-0043,都バス塩浜二丁目バス停より徒歩2分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280314/kodomo/hoiku/kuritsu/shiozakihoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,6,東京都,江東区,東雲保育園,シノノメホイクエン,,1402a,江東区東雲 1-8-5-101,,35.644955,139.800093,(03)3531-9575,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280315/kodomo/hoiku/kuritsu/shinonomehoiku.html,,135-0062,東京臨海高速鉄道りんかい線東雲駅徒歩10分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280315/kodomo/hoiku/kuritsu/shinonomehoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,7,東京都,江東区,東雲第二保育園,シノノダイニホイクエン,,1402a,江東区東雲 2-4-4-103,,35.643317,139.799228,(03)3529-1453,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280316/kodomo/hoiku/kuritsu/shinonomedainihoiku.html,,135-0062,東京臨海高速鉄道りんかい線東雲駅徒歩８分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280316/kodomo/hoiku/kuritsu/shinonomedainihoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,8,東京都,江東区,辰巳第二保育園,タツミダイニホイクエン,,1402a,江東区辰巳 1-10-65-101,,35.648995,139.810714,(03)3521-0369,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280317/kodomo/hoiku/kuritsu/tatsumidainihoiku.html,,135-0053,東京メトロ有楽町線辰巳駅徒歩６分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280317/kodomo/hoiku/kuritsu/tatsumidainihoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,9,東京都,江東区,辰巳第三保育園,タツミダイサンホイクエン,,1402a,江東区辰巳 1-10-81-101,,35.648201,139.811433,(03)3521-3263,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280318/kodomo/hoiku/kuritsu/tatsumidaisanhoiku.html,,135-0053,東京メトロ有楽町線辰巳駅徒歩5分、都営バス辰巳団地より徒歩3分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280318/kodomo/hoiku/kuritsu/tatsumidaisanhoiku.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
13108,10,東京都,江東区,東陽保育園,トウヨウホイクエン,,1402a,江東区東陽 3-22-1-101,,35.669232,139.813695,(03)3647-8458,,,,月火水木金土,7:30,19:30,,江東区には区立保育園が29園あり、「区立保育園統一保育理念」に基づき保育を実施しています。各園では特色や地域性を考慮した保育方針、保育目標、保育計画を作成し、こどもたちの最善の利益を第一に考え、日々の保育を行っています,,https://www.city.koto.lg.jp/280319/kodomo/hoiku/kuritsu/toyohoikuen.html,,135-0016,東京メトロ東西線東陽町駅徒歩5分,0,,1,,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/28hoikuryou.html,1,https://www.city.koto.lg.jp/280308/kodomo/hoiku/ninka/siori31.html,0,,https://www.city.koto.lg.jp/280319/kodomo/hoiku/kuritsu/toyohoikuen.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,,2020/3/30
