都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
131083,1,東京都,江東区,江東区立清澄二丁目公園,コウトウクリツキヨスミニチョウメコウエン,,1003a,江東区清澄2-11-5,,35.682615,139.796194,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0024,都営大江戸線清澄白河駅下車徒歩3分,0,,,,,0,,0,,,,,2020/11/27
131083,2,東京都,江東区,江東区立八名川公園,コウトウクリツヤナガワコウエン,,1003a,江東区新大橋3-1-18,,35.686387,139.795732,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0007,都営新宿線・大江戸線森下駅下車徒歩2分,0,,,,,0,,0,,,,,2020/11/27
131083,3,東京都,江東区,江東区立森下公園,コウトウクリツモリシタコウエン,,1003a,江東区森下2-5-16,,35.686451,139.799405,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0004,都営新宿線・大江戸線森下駅下車徒歩1分,0,,,,,0,,0,,,,,2020/11/27
131083,4,東京都,江東区,江東区立五間堀公園,コウトウクリツゴケンボリコウエン,,1003a,江東区森下2-30-7,,35.689429,139.798448,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0004,都営新宿線・大江戸線森下駅下車徒歩1分,0,,,,,0,,0,,,,,2020/11/27
131083,5,東京都,江東区,江東区立高森公園,コウトウクリツタカモリコウエン,,1003a,江東区森下3-13-9,,35.684789,139.802534,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0004,都営新宿線・大江戸線森下駅下車徒歩３分,0,,,,,0,,0,,,,,2020/11/27
131083,6,東京都,江東区,江東区立福富川公園,コウトウクリツフクトミガワコウエン,,1003a,江東区平野2-15先、平野3-3先、平野3-9先,,35.677882,139.804491,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0023,都営大江戸線清澄白河駅下車徒歩10分,0,,,,,0,,0,,,,,2020/11/27
131083,7,東京都,江東区,江東区立平野四丁目公園,コウトウクリツヒラノヨンチョウメコウエン,,1003a,江東区平野4-5-1先,,35.677702,139.809977,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0023,都営大江戸線清澄白河駅下車徒歩15分,0,,,,,0,,0,,,,,2020/11/27
131083,8,東京都,江東区,江東区立白河一丁目公園,コウトウクリツシラカワイッチョウメコウエン,,1003a,江東区立白河1-5-4,,35.683196,139.800774,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0021,都営大江戸線清澄白河駅下車徒歩3分,0,,,,,0,,0,,,,,2020/11/27
131083,9,東京都,江東区,江東区立白河三丁目水辺公園,コウトウクリツシラカワサンチョウメミズベコウエン,,1003a,江東区白河3-18-17,,35.683732,139.803953,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0021,都営大江戸線清澄白河駅下車徒歩8分,0,,,,,0,,0,,,,,2020/11/27
131083,10,東京都,江東区,江東区立元加賀公園,コウトウクリツモトカガコウエン,,1003a,江東区白河4-3-27,,35.681868,139.80861,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0021,都営大江戸線清澄白河駅下車徒歩12分,0,,,,,0,,0,,,,,2020/11/27
131083,11,東京都,江東区,江東区立佐賀町公園,コウトウクリツサガチョウコウエン,,1003a,江東区佐賀1-15-5,,35.676845,139.791442,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0031,東京メトロ東西線門前仲町駅下車徒歩10分,0,,,,,0,,0,,,,,2020/11/27
131083,12,東京都,江東区,江東区立中の堀公園,コウトウクリツナカノホリコウエン,,1003a,江東区佐賀2-8-26,,35.679534,139.792166,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0031,東京メトロ東西線門前仲町駅下車徒歩12分,0,,,,,0,,0,,,,,2020/11/27
131083,13,東京都,江東区,江東区立永代公園,コウトウクリツエイタイコウエン,,1003a,江東区永代1-1-2、永代1-7-8,,35.675858,139.788544,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0034,東京メトロ東西線門前仲町駅下車徒歩10分,0,,,,,0,,0,,,,,2020/11/27
131083,14,東京都,江東区,江東区立亀堀公園,コウトウクリツカメボリコウエン,,1003a,江東区深川1-6-38,,35.677245,139.794883,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所あり,135-0033,東京メトロ東西線門前仲町駅下車徒歩5分,0,,,,,0,,0,,,,,2020/11/27
131083,15,東京都,江東区,江東区立武田堀公園,コウトウクリツタケダボリコウエン,,1003a,江東区冬木1-12、冬木6-23,,35.673291,139.801106,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,,135-0041,東京メトロ東西線門前仲町駅下車徒歩8分,0,,,,,0,,0,,,,,2020/11/27
131083,16,東京都,江東区,江東区立臨海公園,コウトウクリツリンカイコウエン,,1003a,江東区門前仲町1-1-1,,35.671883,139.792593,(03)5683-5581,,,,月火水木金土日,0:00,23:59,,,,https://www.city.koto.lg.jp/shisetsuannai/kokyo/koen/kuritsukoen/index.html,公衆便所有,135-0048,東京メトロ東西線門前仲町駅下車徒歩3分,0,,,,,0,,0,,,,,2020/11/27
